case_number,primary_type,description,location_description,arrest,year
JJ453453,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT / LAND,False,2025
JJ447890,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447455,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,False,2025
JJ447485,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ450082,THEFT,$500 AND UNDER,RESIDENCE,False,2025
JJ447484,THEFT,OVER $500,STREET,False,2025
JJ452162,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ451462,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,2025
JJ448132,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ448272,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447672,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT / LAND,False,2025
JJ447580,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,2025
JJ450570,BATTERY,SIMPLE,RESIDENCE,False,2025
JJ448670,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447492,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2025
JJ447844,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,2025
JJ450460,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,2025
JJ447469,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,2025
JJ447515,THEFT,OVER $500,STREET,False,2025
JJ447452,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,APARTMENT,False,2025
JJ447451,BATTERY,SIMPLE,STREET,False,2025
JJ447454,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447682,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,False,2025
JJ450924,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,2025
JJ447444,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,False,2025
JJ447456,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,RESIDENCE,False,2025
JJ447434,ASSAULT,SIMPLE,GAS STATION,False,2025
JJ447442,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,2025
JJ447445,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,False,2025
JJ447440,BATTERY,SIMPLE,STREET,False,2025
JJ451212,THEFT,POCKET-PICKING,SIDEWALK,False,2025
JJ447450,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2025
JJ447553,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,VEHICLE NON-COMMERCIAL,False,2025
JJ447448,ASSAULT,SIMPLE,STREET,False,2025
JJ447453,BATTERY,SIMPLE,ALLEY,False,2025
JJ447882,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,2025
JJ447670,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,2025
JJ447447,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,GAS STATION,True,2025
JJ447429,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE - PORCH / HALLWAY,False,2025
JJ447735,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447441,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,2025
JJ447432,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447430,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,True,2025
JJ448175,BATTERY,SIMPLE,BRIDGE,False,2025
JJ448804,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,2025
JJ448029,THEFT,$500 AND UNDER,RESIDENCE,False,2025
JJ448039,CRIMINAL TRESPASS,TO LAND,APARTMENT,False,2025
JJ448464,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL / MOTEL,False,2025
JJ447623,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,2025
JJ448027,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447409,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447417,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,SIDEWALK,False,2025
JJ447783,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - PORCH / HALLWAY,False,2025
JJ447864,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,2025
JJ447767,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - GARAGE,False,2025
JJ447428,THEFT,OVER $500,STREET,False,2025
JJ452382,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,2025
JJ447946,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447413,BATTERY,SIMPLE,BAR OR TAVERN,True,2025
JJ454653,THEFT,OVER $500,RESIDENCE,False,2025
JJ447419,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,2025
JJ447725,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,2025
JJ447824,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,2025
JJ449121,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447393,ASSAULT,SIMPLE,GAS STATION,False,2025
JJ447405,BATTERY,SIMPLE,APARTMENT,False,2025
JJ447421,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,False,2025
JJ447406,BATTERY,SIMPLE,RESTAURANT,True,2025
JJ447403,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,True,2025
JJ447385,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447410,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447398,CRIMINAL DAMAGE,TO PROPERTY,STREET,False,2025
JJ447384,BATTERY,SIMPLE,APARTMENT,False,2025
JJ447590,THEFT,POCKET-PICKING,STREET,False,2025
JJ447817,THEFT,OVER $500,STREET,False,2025
JJ447615,THEFT,FROM BUILDING,BAR OR TAVERN,False,2025
JJ451337,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ447378,BATTERY,SIMPLE,RESIDENCE,False,2025
JJ447369,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,SMALL RETAIL STORE,True,2025
JJ447376,BATTERY,SIMPLE,RESIDENCE,False,2025
JJ447647,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447399,ASSAULT,SIMPLE,APARTMENT,True,2025
JJ447381,THEFT,$500 AND UNDER,APARTMENT,False,2025
JJ447935,THEFT,$500 AND UNDER,STREET,False,2025
JJ447411,ASSAULT,SIMPLE,ALLEY,False,2025
JJ447651,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,2025
JJ452322,THEFT,THEFT FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447427,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA BUS STOP,False,2025
JJ449959,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,2025
JJ447366,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,2025
JJ450102,BURGLARY,UNLAWFUL ENTRY,OTHER (SPECIFY),False,2025
JJ447367,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ447368,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447346,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,False,2025
JJ447644,THEFT,ATTEMPT THEFT,STREET,False,2025
JJ447681,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447351,BATTERY,SIMPLE,RESTAURANT,False,2025
JJ447394,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447473,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,2025
JJ447340,NARCOTICS,POSSESS - HEROIN (WHITE),STREET,True,2025
JJ447377,CRIMINAL TRESPASS,TO LAND,CHA APARTMENT,False,2025
JJ447329,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ453924,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447323,ASSAULT,AGGRAVATED - HANDGUN,GAS STATION,False,2025
JJ447341,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447347,NARCOTICS,POSSESS - HALLUCINOGENS,STREET,True,2025
JJ448974,ROBBERY,VEHICULAR HIJACKING,STREET,False,2025
JJ447664,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),False,2025
JJ447960,THEFT,$500 AND UNDER,STREET,False,2025
JJ447763,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447371,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,2025
JJ447993,THEFT,POCKET-PICKING,BAR OR TAVERN,False,2025
JJ447605,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,2025
JJ448653,THEFT,FROM BUILDING,APARTMENT,False,2025
JJ447908,THEFT,$500 AND UNDER,OTHER (SPECIFY),False,2025
JJ447805,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447338,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,2025
JJ447311,ASSAULT,SIMPLE,SIDEWALK,False,2025
JJ447708,BURGLARY,FORCIBLE ENTRY,OTHER (SPECIFY),False,2025
JJ447291,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,2025
JJ447320,ASSAULT,SIMPLE,ALLEY,False,2025
JJ447307,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,2025
JJ447937,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,2025
JJ447294,ASSAULT,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",CTA BUS,False,2025
JJ447287,ASSAULT,SIMPLE,STREET,False,2025
JJ447298,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,2025
JJ447268,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447290,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,CTA BUS STOP,False,2025
JJ447278,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447318,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",RESIDENCE - YARD (FRONT / BACK),False,2025
JJ448020,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,APARTMENT,False,2025
JJ447386,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,2025
JJ447356,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447310,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,STREET,False,2025
JJ447279,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447275,NARCOTICS,POSSESS - AMPHETAMINES,PARKING LOT / GARAGE (NON RESIDENTIAL),True,2025
JJ447343,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,False,2025
JJ447282,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,2025
JJ447274,BATTERY,SIMPLE,STREET,False,2025
JJ449691,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447425,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ448032,THEFT,OVER $500,CTA BUS STOP,False,2025
JJ447650,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447360,ASSAULT,SIMPLE,SIDEWALK,False,2025
JJ450267,BATTERY,SIMPLE,STREET,False,2025
JJ447261,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,2025
JJ447354,THEFT,PURSE-SNATCHING,RESTAURANT,False,2025
JJ447372,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,2025
JJ449083,THEFT,FROM BUILDING,TAVERN / LIQUOR STORE,False,2025
JJ447296,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY",STREET,False,2025
JJ453705,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,STREET,False,2025
JJ447299,ROBBERY,STRONG ARM - NO WEAPON,CTA BUS STOP,False,2025
JJ452218,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,2025
JJ447280,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),BRIDGE,True,2025
JJ447306,BATTERY,SIMPLE,RESIDENCE,True,2025
JJ447328,THEFT,FROM BUILDING,ATHLETIC CLUB,False,2025
JJ447229,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,False,2025
JJ447607,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,False,2025
JJ447259,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ447223,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,STREET,True,2025
JJ447876,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ450076,THEFT,OVER $500,STREET,False,2025
JJ447305,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SIDEWALK,False,2025
JJ448312,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447277,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,2025
JJ447944,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,2025
JJ447265,ROBBERY,ARMED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447337,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447219,THEFT,OVER $500,DEPARTMENT STORE,False,2025
JJ447173,ASSAULT,SIMPLE,RESIDENCE,False,2025
JJ447222,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,2025
JJ448065,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447228,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESTAURANT,False,2025
JJ447211,NARCOTICS,POSSESS - CRACK,STREET,True,2025
JJ447206,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,STREET,False,2025
JJ447197,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SCHOOL - PUBLIC GROUNDS,False,2025
JJ447262,NARCOTICS,POSSESS - CRACK,STREET,True,2025
JJ447626,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447239,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447234,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,2025
JJ449370,ASSAULT,SIMPLE,APARTMENT,False,2025
JJ448026,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ450969,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,2025
JJ447216,BATTERY,SIMPLE,STREET,False,2025
JJ450234,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ447334,ASSAULT,SIMPLE,DEPARTMENT STORE,False,2025
JJ447694,CRIMINAL TRESPASS,TO LAND,APARTMENT,False,2025
JJ447312,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,2025
JJ447201,ASSAULT,SIMPLE,APARTMENT,False,2025
JJ447597,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,2025
JJ448786,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447195,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,SIDEWALK,False,2025
JJ447602,CRIMINAL DAMAGE,TO VEHICLE,DRIVEWAY - RESIDENTIAL,False,2025
JJ447862,THEFT,$500 AND UNDER,STREET,False,2025
JJ455649,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,2025
JJ447226,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ447608,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,False,2025
JJ447212,THEFT,OVER $500,CTA PLATFORM,False,2025
JJ447271,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,False,2025
JJ455564,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,2025
JJ447205,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,2025
JJ447199,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,2025
JJ447196,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,2025
JJ447182,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,2025
JJ447166,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447657,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ447700,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ450361,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,False,2025
JJ447994,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,2025
JJ447210,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2025
JJ447355,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447149,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,True,2025
JJ447137,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,2025
JJ448796,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER (SPECIFY),False,2025
JJ447120,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,2025
JJ448004,CRIMINAL TRESPASS,TO LAND,APARTMENT,False,2025
JJ447127,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,2025
JJ447089,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,VEHICLE NON-COMMERCIAL,True,2025
JJ447613,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",False,2025
JJ449173,THEFT,OVER $500,STREET,False,2025
JJ447116,BATTERY,SIMPLE,APARTMENT,True,2025
JJ453376,THEFT,OVER $500,RESIDENCE,False,2025
JJ447112,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447980,THEFT,$500 AND UNDER,RESTAURANT,False,2025
JJ447649,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,2025
JJ447109,BATTERY,AGGRAVATED - HANDGUN,SCHOOL - PRIVATE GROUNDS,False,2025
JJ451194,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,2025
JJ450117,THEFT,FROM BUILDING,OTHER (SPECIFY),False,2025
JJ447114,THEFT,OVER $500,STREET,False,2025
JJ447037,ASSAULT,SIMPLE,DRUG STORE,False,2025
JJ447095,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,False,2025
JJ447085,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,2025
JJ447080,THEFT,THEFT FROM MOTOR VEHICLE,PARK PROPERTY,False,2025
JJ450363,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,2025
JJ447044,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447869,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,2025
JJ447083,THEFT,FROM BUILDING,OTHER (SPECIFY),False,2025
JJ447293,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,APARTMENT,True,2025
JJ447055,BATTERY,SIMPLE,STREET,False,2025
JJ447255,ASSAULT,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,False,2025
JJ447063,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,2025
JJ447102,LIQUOR LAW VIOLATION,SELL / GIVE / DELIVER LIQUOR TO MINOR,TAVERN / LIQUOR STORE,True,2025
JJ447019,CRIMINAL TRESPASS,TO LAND,CONVENIENCE STORE,True,2025
JJ447119,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,2025
JJ447060,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",RESIDENCE,False,2025
JJ447015,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,2025
JJ447099,BATTERY,SIMPLE,SIDEWALK,False,2025
JJ447056,BATTERY,SIMPLE,STREET,False,2025
JJ447050,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,2025
